time,currency,title,priority,actual,forecast,previous
"2019-03-05T10:00:00","eur","EUR Euro-Zone Retail Sales (YoY) (JAN)","Medium","2.2%","2.10%","0.30%"
"2019-03-05T14:00:00","mxn","MXN Consumer Confidence Index (FEB)","Medium","116.8","111.8","111.9"
"2019-03-05T14:30:00","usd","USD Fed's Kashkari Testifies Before Minnesota Senate Finance Panel","Low","","",""
"2019-03-05T14:45:00","usd","USD Markit US Services PMI (FEB F)","Low","56","56.2","56.2"
"2019-03-05T14:45:00","usd","USD Markit US Composite PMI (FEB F)","Low","55.5","","55.8"
"2019-03-05T15:00:00","usd","USD ISM Non-Manufacturing/Services Composite (FEB)","High","59.7","57.3","56.7"
"2019-03-05T15:00:00","usd","USD New Home Sales (DEC)","Low","621k","590k","599k"
"2019-03-05T15:00:00","usd","USD New Home Sales (MoM) (DEC)","Medium","3.7%","-8.70%","9.1%"
"2019-03-05T15:35:00","gbp","GBP BOE Governor Mark Carney Testifies to House of Lords","High","","",""
"2019-03-05T16:00:00","nzd","NZD QV House Prices (YoY) (FEB)","Low","3.0%","","2.90%"
"2019-03-05T16:30:00","usd","USD Fed's Barkin Speaks at the Rural Economy","Low","","",""
"2019-03-05T19:00:00","usd","USD Monthly Budget Statement (JAN)","Medium","$8.7b","$10.0b","$49.2b"
"2019-03-05T22:10:00","aud","AUD RBA Governor Lowe gives speech in Sydney","High","","",""
"2019-03-06T00:30:00","aud","AUD Gross Domestic Product (QoQ) (4Q)","Medium","0.20%","0.50%","0.30%"
"2019-03-06T00:30:00","aud","AUD Gross Domestic Product (YoY) (4Q)","High","2.30%","2.60%","2.70%"
"2019-03-06T01:10:00","jpy","JPY BOJ Outright Bond Purchase 5~10 Years","Low","","",""
"2019-03-06T01:30:00","jpy","JPY BOJ Harada makes a speech in Kofu","Low","","",""
"2019-03-06T08:30:00","eur","EUR Markit Germany Construction PMI (FEB)","Medium","54.7","","50.7"
"2019-03-06T10:00:00","eur","EUR OECD Interim Economic Outlook","Medium","","",""
"2019-03-06T12:00:00","usd","USD MBA Mortgage Applications (MAR 01)","Medium","-2.50%","","5.30%"
"2019-03-06T12:15:00","gbp","GBP BOE's Cunliffe speaks in London.","Low","","",""
"2019-03-06T13:15:00","usd","USD ADP Employment Change (FEB)","Medium","183K","190k","300k"
"2019-03-06T13:30:00","cad","CAD International Merchandise Trade (Canadian dollar) (DEC)","Low","-4.59b","-2.06b","-1.98b"
"2019-03-06T13:30:00","cad","CAD Labor Productivity (QoQ) (4Q)","Low","-0.4%","0.3%","0.2%"
