market open at 0 and close at 23,announcement,largest difference 1 hour before,largest difference 1 hour after,ratio
2018-01-15 15:30:00,USD Empire Manufacturing (JAN),39,146,3.743589744
2018-02-20 20:00:00,USD U.S. to Sell USD35 Bln 5-Year Notes,54,201,3.722222222
2018-09-11 13:00:00,USD MBA Mortgage Applications (SEP 7),23,85,3.695652174
2018-06-06 07:45:00,CHF Unemployment Rate (MAY),13,48,3.692307692
2018-06-06 07:45:00,CHF Unemployment Rate s.a. (MAY),13,48,3.692307692
2019-01-08 15:15:00,CAD Housing Starts (DEC),50,183,3.66
2019-01-07 15:30:00,CAD International Merchandise Trade (Canadian Dollar) (NOV),85,310,3.647058824
2018-08-20 01:30:00,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (AUG 19),14,51,3.642857143
2018-08-08 15:00:00,MXN CPI Core (MoM) (JUL),27,98,3.62962963
2018-08-08 15:00:00,MXN CPI (MoM) (JUL),27,98,3.62962963
2018-08-08 15:00:00,MXN CPI (YoY) (JUL),27,98,3.62962963
2018-08-08 15:00:00,MXN Bi-Weekly Core CPI (JUL 31),27,98,3.62962963
2018-08-08 15:00:00,MXN Bi-Weekly CPI (JUL 31),27,98,3.62962963
2018-08-08 15:00:00,MXN Bi-Weekly CPI (YoY) (JUL 31),27,98,3.62962963
2018-10-03 15:15:00,USD Fed's Quarles Speaks at Community Banking Conference,76,275,3.618421053
2018-12-16 15:30:00,CAD International Securities Transactions (Canadian dollar) (OCT),93,336,3.612903226
2018-12-16 15:30:00,USD Empire Manufacturing (DEC),93,336,3.612903226
2018-01-31 19:30:00,GBP BOE's Brazier Speaks in London,68,245,3.602941176
2018-11-07 02:01:00,GBP RICS House Price Balance (OCT),39,140,3.58974359
2019-02-18 11:30:00,GBP Claimant Count Rate (JAN),23,82,3.565217391
2019-02-18 11:30:00,GBP Jobless Claims Change (JAN),23,82,3.565217391
2019-02-18 11:30:00,GBP Average Weekly Earnings (3M/YoY) (DEC),23,82,3.565217391
2019-02-18 11:30:00,GBP Weekly Earnings ex Bonus (3M/YoY) (DEC),23,82,3.565217391
2019-02-18 11:30:00,GBP ILO Unemployment Rate 3Mths (DEC),23,82,3.565217391
2019-02-18 11:30:00,GBP Employment Change 3M/3M (DEC),23,82,3.565217391
2018-03-21 02:00:00,EUR EU Leaders Meet in Brussels,18,64,3.555555556
2018-01-30 06:00:00,JPY Vehicle Production (YoY) (DEC),29,103,3.551724138
2018-06-11 02:01:00,CNY Manpower Survey (3Q),22,78,3.545454545
2018-06-11 02:01:00,JPY Japan Manpower Survey (3Q),22,78,3.545454545
2018-07-18 15:00:00,USD Fed's Quarles Speaks on Alternative Reference Rates,46,163,3.543478261
2019-02-11 15:00:00,GBP BOE Governor Carney Speaks in London,39,138,3.538461538
2019-01-09 15:30:00,CAD New Housing Price Index (MoM) (NOV),67,236,3.52238806
2019-01-09 15:30:00,CAD New Housing Price Index (YoY) (NOV),67,236,3.52238806
2019-01-09 15:30:00,CAD Building Permits (MoM) (NOV),67,236,3.52238806
2019-01-09 15:30:00,USD Initial Jobless Claims (JAN 5),67,236,3.52238806
2019-01-09 15:30:00,USD Continuing Claims (DEC 29),67,236,3.52238806
2018-07-30 15:00:00,MXN GDP NSA (YoY) (2Q P),70,246,3.514285714
2018-07-30 15:00:00,MXN GDP SA (QoQ) (2Q P),70,246,3.514285714
2018-07-30 15:00:00,USD S&P CoreLogic CS 20-City (MoM) SA (MAY),70,246,3.514285714
2018-07-30 15:00:00,USD S&P/Case-Shiller Composite-20 (YoY) (MAY),70,246,3.514285714
2018-07-30 15:00:00,USD S&P/Case-Shiller 20-City Index n.s.a (MAY),70,246,3.514285714
